Wavelength	Guineapig2022_00000.asd.sco	Guineapig2022_00001.asd.sco	Guineapig2022_00002.asd.sco	Guineapig2022_00003.asd.sco	Guineapig2022_00004.asd.sco	Guineapig2022_00005.asd.sco	Guineapig2022_00006.asd.sco	Guineapig2022_00007.asd.sco	Guineapig2022_00008.asd.sco	Guineapig2022_00009.asd.sco	Guineapig2022_00010.asd.sco	Guineapig2022_00011.asd.sco	Guineapig2022_00012.asd.sco	Guineapig2022_00013.asd.sco	Guineapig2022_00014.asd.sco	Guineapig2022_00015.asd.sco	Guineapig2022_00016.asd.sco	Guineapig2022_00017.asd.sco	Guineapig2022_00018.asd.sco
350	0.107511445879936	0.041407223790884	0.046047817915678	4.05652262270451E-02	6.40589967370033E-02	4.87439148128033E-02	8.58380123972893E-02	7.72133246064186E-02	6.24426417052746E-02	5.63821755349636E-02	0.041774082928896	0.11308328807354	0.211474522948265	0.188163727521896	0.117741644382477	6.69022649526596E-02	0.11741030216217	0.112698018550873	 0.964770674705505 
351	0.106950171291828	3.99711839854717E-02	4.52267527580261E-02	4.19337302446365E-02	0.060368325561285	5.09595833718777E-02	8.83040875196457E-02	7.30689242482185E-02	6.41416981816292E-02	5.11326901614666E-02	4.38303090631962E-02	0.117764599621296	0.216006189584732	0.186451643705368	0.114230766892433	0.065069817006588	0.117517985403538	0.113139167428017	 0.969458281993866 
352	0.112168326973915	4.34373430907726E-02	4.75552119314671E-02	5.00407032668591E-02	6.47027269005775E-02	5.47113195061684E-02	9.29625928401947E-02	7.78423398733139E-02	6.96129873394966E-02	0.057792354375124	4.84091863036156E-02	0.125359043478966	0.222361832857132	0.192372635006905	0.120049230754375	7.06213042140007E-02	0.121052972972393	0.120872244238853	 0.975958406925201 
353	0.112511470913887	4.37178164720535E-02	4.63749207556248E-02	5.10308369994164E-02	6.55734091997147E-02	5.48449903726578E-02	9.45223048329353E-02	8.18165764212608E-02	7.11661130189896E-02	6.19905367493629E-02	4.74026799201965E-02	0.124607153236866	0.224507823586464	0.195003196597099	0.124109715223312	7.19217285513878E-02	0.123385220766068	0.124428763985634	 0.975253820419312 
354	0.104198180139065	3.75142842531204E-02	4.05967235565186E-02	4.04614135622978E-02	5.79100698232651E-02	5.12035079300404E-02	9.15936604142189E-02	7.83389881253242E-02	6.64303153753281E-02	5.52483052015305E-02	3.96884642541409E-02	0.114863462746143	0.222440242767334	0.189152047038078	0.119758158922195	0.064692959189415	0.122195430099964	0.119182772934437	 0.967031300067902 
355	0.107090830802917	4.02608178555965E-02	4.62620109319687E-02	4.19220216572285E-02	6.32336214184761E-02	5.50446808338165E-02	0.093999944627285	0.079245999455452	6.92316815257072E-02	5.48614971339703E-02	0.041167076677084	0.121117316186428	0.229708969593048	0.191921055316925	0.119512654840946	6.88139796257019E-02	0.122044734656811	0.122131340205669	 0.969362318515778 
356	0.108737610280514	3.99009957909584E-02	4.72511723637581E-02	4.43882755935192E-02	6.33403286337852E-02	5.39912171661854E-02	9.65018346905708E-02	8.12445729970932E-02	7.10093528032303E-02	5.62303364276886E-02	4.57616820931435E-02	0.122358217835426	0.230675339698792	0.193355083465576	0.120727956295013	7.00112357735634E-02	0.121272899210453	0.123106010258198	 0.973338901996613 
357	0.107153348624706	3.56995835900307E-02	4.30393032729626E-02	4.31501418352127E-02	5.94106800854206E-02	4.92756515741348E-02	9.72982719540596E-02	8.13416540622711E-02	6.98392689228058E-02	5.61538301408291E-02	4.76246252655983E-02	0.118275955319405	0.227732568979263	0.192153543233871	0.121696695685387	6.75671100616455E-02	0.120580978691578	0.121098786592484	 0.974273920059204 
358	0.104887127876282	3.21419239044189E-02	3.93807552754879E-02	3.82637605071068E-02	5.89387528598309E-02	4.71073910593987E-02	0.096490703523159	7.85674527287483E-02	6.73733130097389E-02	5.33896759152412E-02	4.34372499585152E-02	0.116084352135658	0.228880330920219	0.190364688634872	0.121370241045952	6.59674629569054E-02	0.120934806764126	0.119014322757721	 0.97125232219696 
359	0.105688847601414	3.65093760192394E-02	4.04068194329739E-02	4.07823100686073E-02	6.11633248627186E-02	5.03364540636539E-02	9.61855873465538E-02	8.16209316253662E-02	6.92664161324501E-02	5.40046542882919E-02	4.08732518553734E-02	0.117654845118523	0.232799023389816	0.188428848981857	0.120238661766052	6.78649395704269E-02	0.119985096156597	0.1203393638134	 0.973490536212921 
360	0.107245080173016	3.96534875035286E-02	0.042604211717844	0.041833184659481	6.30431100726128E-02	5.36575652658939E-02	9.75687056779861E-02	8.38289707899094E-02	7.13227167725563E-02	5.51678873598576E-02	4.30787168443203E-02	0.119117870926857	0.23607237637043	0.190261766314507	0.121731787919998	6.90579786896706E-02	0.120010025799274	0.123289592564106	 0.971805274486542 
361	0.108623340725899	3.92664335668087E-02	4.36803288757801E-02	4.00071777403355E-02	6.35808631777763E-02	5.41611090302467E-02	0.100572064518929	8.38529616594315E-02	7.20083564519882E-02	5.57652339339256E-02	0.046496544033289	0.119969882071018	0.238060370087624	0.194528892636299	0.124873071908951	6.85360953211784E-02	0.121664099395275	0.126296728849411	 0.96725857257843 
362	0.110138975083828	3.90958711504936E-02	4.29076664149761E-02	4.04448844492435E-02	0.063455805182457	5.16454912722111E-02	0.10391641408205	8.50983038544655E-02	7.24277794361115E-02	0.056430958211422	4.33563143014908E-02	0.122265726327896	0.240296706557274	0.195841267704964	0.125275805592537	6.81295096874237E-02	0.123841375112534	0.128154307603836	 0.969046115875244 
